,gene,rowsums,rank,norm_rank
498,PDE11A,14.0,233.0,0.20953237410071943
499,ENTPD3,25.0,389.0,0.3498201438848921
500,TYMS,40.0,548.0,0.49280575539568344
501,IMPDH2,32.0,464.5,0.4177158273381295
502,PDE2A,13.0,214.0,0.19244604316546762
503,IMPDH1,14.0,233.0,0.20953237410071943
504,PDE4D,21.0,342.5,0.30800359712230213
505,PDE3A,13.0,214.0,0.19244604316546762
506,GOT1,21.0,342.5,0.30800359712230213
507,ENTPD1,85.0,838.5,0.7540467625899281
508,CMPK1,18.0,297.5,0.2675359712230216
509,PCNA,36.0,514.5,0.4626798561151079
510,PDE7A,9.0,139.0,0.125
511,GPI,31.0,453.5,0.40782374100719426
512,TK1,27.0,412.5,0.37095323741007197
513,C8B,40.0,548.0,0.49280575539568344
514,ANGPTL3,21.0,342.5,0.30800359712230213
515,C8A,53.0,670.0,0.6025179856115108
516,SERPINA6,22.0,356.0,0.32014388489208634
517,LGALS3,144.0,997.0,0.8965827338129496
518,HMGB1,112.0,922.5,0.8295863309352518
519,S100A9,63.0,740.5,0.6659172661870504
520,MAPKAPK5,12.0,195.0,0.17535971223021582
521,CD200,49.0,639.5,0.575089928057554
522,AGR2,30.0,446.0,0.4010791366906475
523,ERP29,11.0,179.0,0.16097122302158273
524,ATP5F1B,46.0,614.5,0.5526079136690647
525,PPIB,32.0,464.5,0.4177158273381295
526,PDIA3,56.0,689.5,0.6200539568345323
527,P4HB,51.0,653.0,0.5872302158273381
528,NME1,49.0,639.5,0.575089928057554
529,PRDX6,42.0,562.0,0.5053956834532374
530,CTSE,12.0,195.0,0.17535971223021582
531,TACSTD2,13.0,214.0,0.19244604316546762
532,PGK1,67.0,768.5,0.6910971223021583
533,ANXA1,88.0,846.5,0.7612410071942446
534,PPIA,71.0,785.0,0.7059352517985612
535,TFF3,13.0,214.0,0.19244604316546762
536,CNTFR,54.0,675.0,0.6070143884892086
537,PRKAG1,13.0,214.0,0.19244604316546762
538,CNTF,86.0,842.0,0.7571942446043165
539,CPE,10.0,159.5,0.14343525179856115
540,MAPK13,51.0,653.0,0.5872302158273381
541,CTSZ,29.0,439.0,0.3947841726618705
542,LBP,44.0,586.0,0.5269784172661871
543,CCL1,55.0,682.0,0.6133093525179856
544,CCL13,71.0,785.0,0.7059352517985612
545,CXCL6,59.0,706.5,0.635341726618705
546,GFAP,124.0,963.0,0.8660071942446043
547,CAMK1,7.0,103.0,0.09262589928057553
548,CCL21,96.0,866.0,0.7787769784172662
549,CCL27,74.0,797.5,0.7171762589928058
550,PROK1,10.0,159.5,0.14343525179856115
551,CXCL13,118.0,944.0,0.8489208633093526
552,STC1,12.0,195.0,0.17535971223021582
553,CXCL3,77.0,807.0,0.7257194244604317
554,PPBP,98.0,877.5,0.7891187050359713
555,ERAP1,28.0,426.5,0.3835431654676259
556,MAP2K1,115.0,934.0,0.8399280575539568
557,CCL19,119.0,949.0,0.8534172661870504
558,OLR1,44.0,586.0,0.5269784172661871
559,GRK2,26.0,401.0,0.3606115107913669
560,PDE5A,21.0,342.5,0.30800359712230213
561,CCL28,32.0,464.5,0.4177158273381295
562,CAMK1D,6.0,78.5,0.07059352517985612
