target,trimester,term,df,df_res,sum_sq,sum_sq_res,f_value,pr_f,p_adj_by
ATS15,Second,group,2,369,1243441.9053869033,3046431.0946131134,75.30616134714138,3.745480389787596e-28,8.593953985372403e-27
AURKB,Second,group,2,369,325052.45730550634,3964820.5426944974,15.126076382793546,4.855610942572141e-7,5.573860989689119e-6
Activated Protein C,Second,group,2,369,1423895.4388045715,2865977.5611954452,91.66460757280439,4.795464485037057e-33,1.3479006084489507e-31
Activin A,Second,group,2,369,1283691.9763862719,3006181.023613744,78.78473311582525,3.219533860149077e-29,7.696492087003271e-28
Activin AB,Second,group,2,369,152220.6493780329,4137652.35062197,6.787595339184402,0.0012738383894213767,0.012438093363256816
Activin RIB,Second,group,2,369,19161.174573054537,4270711.825426946,0.8277862925989256,0.43782550598112124,1
Adiponectin,Second,group,2,369,1288438.5469112545,3001434.4530887622,79.20110054727103,2.4053429168089885e-29,5.79292382646602e-28
Afamin,Second,group,2,369,30457.243358634412,4259415.756641366,1.319279854497939,0.2685856505513583,1
Aflatoxin B1 aldehyde reductase,Second,group,2,369,1294961.21468481,2994911.785315201,79.77541952348427,1.610112129640207e-29,3.9019299206817948e-28
Aggrecan,Second,group,2,369,286135.92309719697,4003737.076902804,13.185700458700333,2.9437142288341477e-6,3.2896651051736934e-5
Albumin,Second,group,2,369,997520.2319207378,3292352.7680792743,55.89998877816021,6.221937040100945e-22,1.1361827912252594e-20
"Alkaline phosphatase, bone",Second,group,2,369,162917.70503900666,4126955.294960995,7.283412208607609,7.901203221317831e-4,0.00784516947515901
"Alkaline phosphatase, liver",Second,group,2,369,29481.58064516168,4260391.419354839,1.2767257966771568,0.2801784245576992,1
