target,trimester,central_cluster
AIP,Third,term-specific
AMHR2,Third,term-specific
AMNLS,Third,term-specific
AMPK a1b1g1,Third,term-specific
ARSB,Third,term-specific
ASM3A,Third,term-specific
ATP synthase beta chain,Third,term-specific
ATS15,Third,term-specific
Activated Protein C,Third,term-specific
Activin RIB,Third,term-specific
Antithrombin III,Third,term-specific
Artemin,Third,term-specific
Arylsulfatase A,Third,term-specific
BAFF,Third,term-specific
BASI,Third,term-specific
BDNF,Third,term-specific
BMPER,Third,term-specific
BNP,Third,term-specific
BNP-32,Third,term-specific
BTG,Third,term-specific
C1q,Third,term-specific
C34 gp41 HIV Fragment,Third,term-specific
C4,Third,term-specific
C4b,Third,term-specific
"C5b, 6 Complex",Third,term-specific
CBG,Third,term-specific
CD226,Third,term-specific
CD70,Third,term-specific
CDK8/cyclin C,Third,term-specific
CG073,Third,term-specific
CHST6,Third,term-specific
CK-MB,Third,term-specific
CK2-A2:B,Third,term-specific
CLC4K,Third,term-specific
COLEC12,Third,term-specific
COX-2,Third,term-specific
CRIS3,Third,term-specific
CS084,Third,term-specific
CSF-1,Third,term-specific
Cadherin-2,Third,term-specific
Cadherin-6,Third,term-specific
Calcineurin B a,Third,term-specific
Carbonic anhydrase 9,Third,term-specific
Carbonic anhydrase VII,Third,term-specific
Caspase-2,Third,term-specific
Cathepsin G,Third,term-specific
Coagulation Factor IX,Third,term-specific
Contactin-5,Third,term-specific
Cyclin B1,Third,term-specific
D-dimer,Third,term-specific
DAN,Third,term-specific
DEAD-box protein 19B,Third,term-specific
DKK1,Third,term-specific
DLC8,Third,term-specific
DRAK2,Third,term-specific
DSC3,Third,term-specific
Dkk-4,Third,term-specific
Dynactin subunit 2,Third,term-specific
EG-VEGF,Third,term-specific
EMR2,Third,term-specific
ENA-78,Third,term-specific
ER,Third,term-specific
ERBB2,Third,term-specific
ERBB4,Third,term-specific
Enterokinase,Third,term-specific
Eotaxin-2,Third,term-specific
EphA5,Third,term-specific
EphB4,Third,term-specific
F229A,Third,term-specific
FABPE,Third,term-specific
FAK1,Third,term-specific
FAM107B,Third,term-specific
FCG2A/B,Third,term-specific
FCRL3,Third,term-specific
FGF-10,Third,term-specific
FGF-12,Third,term-specific
FGF-18,Third,term-specific
FGF-20,Third,term-specific
FGF-5,Third,term-specific
FGF-8,Third,term-specific
FGF-8B,Third,term-specific
FGF-8F,Third,term-specific
FGF9,Third,term-specific
FGFR-2,Third,term-specific
FGFR-3,Third,term-specific
FSH,Third,term-specific
Factor H,Third,term-specific
"Fas ligand, soluble",Third,term-specific
Ferritin,Third,term-specific
Fibrinogen,Third,term-specific
Fucosyltransferase 3,Third,term-specific
G-CSF,Third,term-specific
GAS1,Third,term-specific
GCKR,Third,term-specific
GDF-9,Third,term-specific
GFAP,Third,term-specific
GHC2,Third,term-specific
GIIE,Third,term-specific
GNT2C,Third,term-specific
GP114,Third,term-specific
GPC2,Third,term-specific
GPNMB,Third,term-specific
GSTA3,Third,term-specific
GX,Third,term-specific
Galectin-8,Third,term-specific
Granzyme B,Third,term-specific
Granzyme H,Third,term-specific
HDGR2,Third,term-specific
HIV-2 Rev,Third,term-specific
HMGR,Third,term-specific
HPV E7 Type 16,Third,term-specific
Hemoglobin,Third,term-specific
Histone H1.2,Third,term-specific
Histone H2A.z,Third,term-specific
ICOS,Third,term-specific
IF4A3,Third,term-specific
IFN-aA,Third,term-specific
IFN-g R1,Third,term-specific
IFN-lambda 2,Third,term-specific
IFNL4,Third,term-specific
IGF-I,Third,term-specific
IGFBP-7,Third,term-specific
IL-10,Third,term-specific
IL-12,Third,term-specific
IL-12 RB2,Third,term-specific
IL-12 Rb1,Third,term-specific
IL-13,Third,term-specific
IL-15 Ra,Third,term-specific
IL-17 RC,Third,term-specific
IL-17B,Third,term-specific
IL-17B R,Third,term-specific
IL-17D,Third,term-specific
IL-17E,Third,term-specific
IL-1Rrp2,Third,term-specific
IL-1b,Third,term-specific
IL-20 Ra,Third,term-specific
IL-23,Third,term-specific
IL-27,Third,term-specific
IL-6,Third,term-specific
IL-7,Third,term-specific
IL22RA1,Third,term-specific
ILT-4,Third,term-specific
ISM1,Third,term-specific
IgD,Third,term-specific
IgE,Third,term-specific
IgG,Third,term-specific
IgM,Third,term-specific
Integrin a1b1,Third,term-specific
Integrin aVb5,Third,term-specific
JAG2,Third,term-specific
JAK2,Third,term-specific
JAML1,Third,term-specific
K-ras,Third,term-specific
KI3L2,Third,term-specific
KI3S1,Third,term-specific
KIAP,Third,term-specific
KIRR3,Third,term-specific
KLRF1,Third,term-specific
Kallikrein 11,Third,term-specific
Kallikrein 4,Third,term-specific
LIMP II,Third,term-specific
LRRT1,Third,term-specific
LRRT3,Third,term-specific
Laminin,Third,term-specific
Livin B,Third,term-specific
Lymphotoxin a1/b2,Third,term-specific
MATK,Third,term-specific
MCP-1,Third,term-specific
MCP-2,Third,term-specific
MCP-3,Third,term-specific
MCP-4,Third,term-specific
MEPE,Third,term-specific
MIS,Third,term-specific
MK13,Third,term-specific
MMP-10,Third,term-specific
MMP-16,Third,term-specific
MO2R1,Third,term-specific
Macrophage scavenger receptor,Third,term-specific
Mammaglobin 2,Third,term-specific
NANOG,Third,term-specific
NKG2D,Third,term-specific
NKp30,Third,term-specific
NR1D1,Third,term-specific
NRP1,Third,term-specific
NRX3A,Third,term-specific
Neurotrophin-5,Third,term-specific
NovH,Third,term-specific
OX40 Ligand,Third,term-specific
Olfactomedin-4,Third,term-specific
PACA,Third,term-specific
PACAP-27,Third,term-specific
PACAP-38,Third,term-specific
PAK6,Third,term-specific
PAK7,Third,term-specific
PAL4D,Third,term-specific
PBP,Third,term-specific
PCNA,Third,term-specific
PDGF-CC,Third,term-specific
PIM1,Third,term-specific
PKC-D,Third,term-specific
PKC-G,Third,term-specific
PLK-1,Third,term-specific
PSA2,Third,term-specific
PSME3,Third,term-specific
PTK6,Third,term-specific
Parathyroid Hormone1-34,Third,term-specific
Persephin,Third,term-specific
Plasmin,Third,term-specific
Protein disulfide-isomerase,Third,term-specific
RANK,Third,term-specific
RELT,Third,term-specific
ROR1,Third,term-specific
RTN4,Third,term-specific
SEPR,Third,term-specific
SLAF5,Third,term-specific
SPTA2,Third,term-specific
SREC-I,Third,term-specific
SREC-II,Third,term-specific
SSRP1,Third,term-specific
STX1a,Third,term-specific
Secretin,Third,term-specific
Semaphorin 3E,Third,term-specific
Sialoadhesin,Third,term-specific
TAK1-TAB1,Third,term-specific
TBP,Third,term-specific
TCPTP,Third,term-specific
TGF-b2,Third,term-specific
TGF-b3,Third,term-specific
TNF sR-I,Third,term-specific
TNF-b,Third,term-specific
TNFSF15,Third,term-specific
TRAIL R1,Third,term-specific
TRY3,Third,term-specific
TS,Third,term-specific
TSH,Third,term-specific
TYK2,Third,term-specific
Thyroxine-Binding Globulin,Third,term-specific
Topoisomerase I,Third,term-specific
TrkA,Third,term-specific
ULBP-2,Third,term-specific
VWC2L,Third,term-specific
WFKN1,Third,term-specific
WISP-1,Third,term-specific
XEDAR,Third,term-specific
annexin VI,Third,term-specific
b-NGF,Third,term-specific
cIAP-2,Third,term-specific
calgranulin B,Third,term-specific
carbonic anhydrase II,Third,term-specific
dopa decarboxylase,Third,term-specific
gpIIbIIIa,Third,term-specific
hnRNP K,Third,term-specific
kallikrein 5,Third,term-specific
p60-Src,Third,term-specific
paraoxonase 1,Third,term-specific
sCD4,Third,term-specific
"transcription factor MLR1, isoform CRA_b",Third,term-specific
