term_description,trimester,.y.,n,statistic,df,p,p_adj_bh,p_adj_by,method
Negative regulation of cell-cell adhesion,Third,log2rfu,3260,2.0991864290881495,2,0.35,0.4011101622544833,1,Kruskal-Wallis
Regulation of tumor necrosis factor superfamily cytokine production,Second,log2rfu,3348,2.185994060626399,2,0.335,0.38606268784886216,1,Kruskal-Wallis
Regulation of tumor necrosis factor superfamily cytokine production,Third,log2rfu,2934,2.3268314442320843,2,0.312,0.36220069204152244,1,Kruskal-Wallis
Regulation of neuron apoptotic process,Second,log2rfu,5208,0.2382310860157304,2,0.888,0.9038270762229808,1,Kruskal-Wallis
Regulation of adaptive immune response,Second,log2rfu,2976,2.3627247371496196,2,0.307,0.35716861725184224,1,Kruskal-Wallis
Regulation of MAP kinase activity,Second,log2rfu,2976,0.34685430335048295,2,0.841,0.8602301829268293,1,Kruskal-Wallis
Regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,Second,log2rfu,2604,0,2,0.998,0.998744221,1,Kruskal-Wallis
Regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,Third,log2rfu,2282,3.989168018891178,2,0.136,0.16985760818985576,1,Kruskal-Wallis
Lymphocyte migration,Second,log2rfu,1488,4.0135027952892415,2,0.134,0.16767179487179487,1,Kruskal-Wallis
Lymphocyte migration,Third,log2rfu,1304,0.4997283468092064,2,0.779,0.8078964451313757,1,Kruskal-Wallis
Regulation of production of molecular mediator of immune response,Second,log2rfu,2976,1.2800540576045023,2,0.527,0.5735879967558799,1,Kruskal-Wallis
Regulation of production of molecular mediator of immune response,Third,log2rfu,2608,3.660229671657362,2,0.16,0.1975344986200552,1,Kruskal-Wallis
Negative regulation of neuron death,Second,log2rfu,4836,0.41541979637804616,2,0.812,0.8372677679600462,1,Kruskal-Wallis
Developmental growth,Second,log2rfu,7812,0.6371329138055444,2,0.727,0.7622140624999999,1,Kruskal-Wallis
Developmental growth,Third,log2rfu,6846,2.6091195685148705,2,0.271,0.31957996485061513,1,Kruskal-Wallis
Regulation of phagocytosis,Second,log2rfu,3720,1.083737038574327,2,0.582,0.6265896510228639,1,Kruskal-Wallis
Regulation of phagocytosis,Third,log2rfu,3260,1.4490233046926733,2,0.485,0.5317565359477124,1,Kruskal-Wallis
Regulation of wound healing,Second,log2rfu,2232,1.9186829339005271,2,0.383,0.4331951116729878,1,Kruskal-Wallis
Regulation of wound healing,Third,log2rfu,1956,2.5686469399370253,2,0.277,0.32593950021920215,1,Kruskal-Wallis
Regulation of tumor necrosis factor production,Second,log2rfu,3348,2.185994060626399,2,0.335,0.38606268784886216,1,Kruskal-Wallis
Regulation of tumor necrosis factor production,Third,log2rfu,2934,2.3268314442320843,2,0.312,0.36220069204152244,1,Kruskal-Wallis
Regulation of innate immune response,Third,log2rfu,5542,1.648937851718074,2,0.438,0.48719104848736017,1,Kruskal-Wallis
Positive regulation of cell development,Second,log2rfu,7440,4.03,2,0.133,0.16665359477124184,1,Kruskal-Wallis
Gland development,Second,log2rfu,5208,4.567786270497891,2,0.102,0.1309268292682927,1,Kruskal-Wallis
Positive regulation of epithelial cell migration,Second,log2rfu,3720,1.4752015854755882,2,0.478,0.524724744,1,Kruskal-Wallis
Cell morphogenesis involved in differentiation,Third,log2rfu,7498,4.722193140209129,2,0.0943,0.12168326923076923,1,Kruskal-Wallis
Positive regulation of inflammatory response,Second,log2rfu,3720,1.3736061557028734,2,0.503,0.5494717134717135,1,Kruskal-Wallis
Biological process involved in symbiotic interaction,Third,log2rfu,2608,3.4219029790374407,2,0.181,0.22162591240875912,1,Kruskal-Wallis
Lymphocyte mediated immunity,Second,log2rfu,4464,1.1796976046789496,2,0.554,0.6000548829701372,1,Kruskal-Wallis
Positive regulation of smooth muscle cell proliferation,Second,log2rfu,1488,2.156572009815136,2,0.34,0.3911530218602658,1,Kruskal-Wallis
Regulation of nervous system development,Second,log2rfu,7812,4.227619147150108,2,0.121,0.15268641278796427,1,Kruskal-Wallis
Positive regulation of MAP kinase activity,Second,log2rfu,2232,0.6096811523966608,2,0.737,0.7720952380952382,1,Kruskal-Wallis
Positive regulation of MAP kinase activity,Third,log2rfu,1956,3.9630836573487613,2,0.138,0.17203529958197863,1,Kruskal-Wallis
Gliogenesis,Second,log2rfu,5952,2.6218747661987436,2,0.27,0.3185406593406594,1,Kruskal-Wallis
Complement activation,Second,log2rfu,3348,1.0713692951976554,2,0.585,0.629314629,1,Kruskal-Wallis
Regulation of interleukin-6 production,Second,log2rfu,3348,3.9910330211059772,2,0.136,0.16985760818985576,1,Kruskal-Wallis
Positive regulation of response to biotic stimulus,Second,log2rfu,5208,0.9915344768505747,2,0.609,0.6522569832402234,1,Kruskal-Wallis
Regulation of endothelial cell proliferation,Third,log2rfu,2608,3.2117137700288367,2,0.201,0.24455303717135085,1,Kruskal-Wallis
Negative regulation of lymphocyte activation,Third,log2rfu,2934,2.983267804234856,2,0.225,0.270928668,1,Kruskal-Wallis
External encapsulating structure organization,Second,log2rfu,3348,1.2332826674937678,2,0.54,0.5860735948241004,1,Kruskal-Wallis
Reproductive structure development,Second,log2rfu,4092,0.7904876098782552,2,0.674,0.7164419801980199,1,Kruskal-Wallis
Negative regulation of leukocyte cell-cell adhesion,Second,log2rfu,2232,0.7360903263424916,2,0.692,0.7332522700355308,1,Kruskal-Wallis
Negative regulation of leukocyte cell-cell adhesion,Third,log2rfu,1956,3.064533971426499,2,0.216,0.26126363226678684,1,Kruskal-Wallis
Proteolysis,Third,log2rfu,10432,0.7263202875728894,2,0.695,0.7358500986193293,1,Kruskal-Wallis
Protein processing,Third,log2rfu,2934,0.53,2,0.768,0.8005095145631067,1,Kruskal-Wallis
Negative regulation of locomotion,Second,log2rfu,6696,3.8163747557518946,2,0.148,0.18330964467005073,1,Kruskal-Wallis
Regulation of blood coagulation,Second,log2rfu,1488,1.1061134574310927,2,0.575,0.6200482121333869,1,Kruskal-Wallis
Regulation of blood coagulation,Third,log2rfu,1304,0.2692505253339732,2,0.874,0.8912674772036475,1,Kruskal-Wallis
Negative regulation of neuron apoptotic process,Second,log2rfu,4092,0.5582400838793546,2,0.756,0.7889206842923794,1,Kruskal-Wallis
Central nervous system development,Third,log2rfu,11410,3.9169415799551643,2,0.141,0.17520555555555556,1,Kruskal-Wallis
Response to inorganic substance,Third,log2rfu,4238,0.7623175432181597,2,0.683,0.7248604191379993,1,Kruskal-Wallis
Negative regulation of response to wounding,Second,log2rfu,2232,3.0626177812528113,2,0.216,0.26126363226678684,1,Kruskal-Wallis
Extrinsic apoptotic signaling pathway,Third,log2rfu,1630,0.2332956543950786,2,0.89,0.9048333333333333,1,Kruskal-Wallis
Positive regulation of endothelial cell migration,Second,log2rfu,2976,2.725875254271159,2,0.256,0.30470243902439026,1,Kruskal-Wallis
Regulation of neuron projection development,Third,log2rfu,10432,0.7567171965056332,2,0.685,0.726408534,1,Kruskal-Wallis
Positive regulation of production of molecular mediator of immune response,Second,log2rfu,2232,1.9803255529304806,2,0.372,0.4234300254452926,1,Kruskal-Wallis
Regulation of system process,Third,log2rfu,4890,3.6528064050362445,2,0.161,0.19867770114942532,1,Kruskal-Wallis
Regulation of cellular component biogenesis,Second,log2rfu,10788,0.99,2,0.608,0.6514459081836327,1,Kruskal-Wallis
Positive regulation of tumor necrosis factor superfamily cytokine production,Second,log2rfu,2604,0.5830484986954616,2,0.747,0.7804390813546127,1,Kruskal-Wallis
Negative regulation of wound healing,Second,log2rfu,1860,2.7945783194672913,2,0.247,0.2947745664739884,1,Kruskal-Wallis
Response to steroid hormone,Second,log2rfu,2976,2.252244053508548,2,0.324,0.3748344827586207,1,Kruskal-Wallis
Positive regulation of phagocytosis,Third,log2rfu,1956,1.5530065615885178,2,0.46,0.5078733031674209,1,Kruskal-Wallis
Positive regulation of mononuclear cell migration,Third,log2rfu,1956,1.854009883634717,2,0.396,0.44601930339907686,1,Kruskal-Wallis
Negative regulation of cell migration,Second,log2rfu,5208,4.341286646134904,2,0.114,0.14439641340254838,1,Kruskal-Wallis
Regulation of cell-matrix adhesion,Second,log2rfu,3720,1.2375656895110296,2,0.539,0.5852249190938512,1,Kruskal-Wallis
Regulation of DNA-binding transcription factor activity,Third,log2rfu,5216,2.341376611715532,2,0.31,0.3603464703334777,1,Kruskal-Wallis
Positive regulation of interleukin-6 production,Second,log2rfu,2232,1.3953858340519218,2,0.498,0.5451190864600327,1,Kruskal-Wallis
Positive regulation of tumor necrosis factor production,Second,log2rfu,2604,0.5830484986954616,2,0.747,0.7804390813546127,1,Kruskal-Wallis
Negative regulation of apoptotic signaling pathway,Third,log2rfu,2934,0.5677349776669871,2,0.753,0.7860956826137689,1,Kruskal-Wallis
Positive regulation of adaptive immune response,Second,log2rfu,1860,1.9968986354142544,2,0.368,0.4195887850467289,1,Kruskal-Wallis
Positive regulation of adaptive immune response,Third,log2rfu,1630,2.798165002153837,2,0.247,0.2947745664739884,1,Kruskal-Wallis
Regulation of lymphocyte differentiation,Second,log2rfu,2976,3.5846531951774523,2,0.167,0.2057979797979798,1,Kruskal-Wallis
Positive regulation of leukocyte mediated immunity,Third,log2rfu,1304,4.416876080391376,2,0.11,0.13985788725722406,1,Kruskal-Wallis
Positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,Second,log2rfu,1860,1.9968986354142544,2,0.368,0.4195887850467289,1,Kruskal-Wallis
Positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,Third,log2rfu,1630,2.798165002153837,2,0.247,0.2947745664739884,1,Kruskal-Wallis
Organ growth,Third,log2rfu,1956,0.8147741743159713,2,0.665,0.7079968266560889,1,Kruskal-Wallis
Negative regulation of blood coagulation,Second,log2rfu,1116,2.156111160697492,2,0.34,0.3911530218602658,1,Kruskal-Wallis
Negative regulation of blood coagulation,Third,log2rfu,978,1.3199023557899636,2,0.517,0.5638472165786266,1,Kruskal-Wallis
Regulation of binding,Second,log2rfu,6696,3.0824633151860326,2,0.214,0.25919494584837544,1,Kruskal-Wallis
Regulation of epithelial cell apoptotic process,Third,log2rfu,1304,0.2445636299430589,2,0.885,0.9017995444191345,1,Kruskal-Wallis
Regulation of granulocyte chemotaxis,Third,log2rfu,2282,3.0537838489572096,2,0.217,0.262354955,1,Kruskal-Wallis
Myeloid leukocyte activation,Third,log2rfu,2608,4.335884011233247,2,0.114,0.14439641340254838,1,Kruskal-Wallis
Protein maturation,Third,log2rfu,3260,1.0427753671938262,2,0.594,0.6379735894357743,1,Kruskal-Wallis
Regulation of tissue remodeling,Second,log2rfu,1860,2.6328912999260865,2,0.268,0.31659859154929576,1,Kruskal-Wallis
Positive regulation of lymphocyte mediated immunity,Third,log2rfu,1304,4.416876080391376,2,0.11,0.13985788725722406,1,Kruskal-Wallis
Negative regulation of transport,Third,log2rfu,4238,0.19719969537618454,2,0.906,0.9179705549263873,1,Kruskal-Wallis
Regulation of protein binding,Second,log2rfu,5580,2.3734203997482837,2,0.305,0.35514967462039043,1,Kruskal-Wallis
Cellular response to fibroblast growth factor stimulus,Third,log2rfu,1956,0.8642217769738636,2,0.649,0.6912365079365079,1,Kruskal-Wallis
"Complement activation, classical pathway",Second,log2rfu,2604,0.3844128538230507,2,0.825,0.848065875,1,Kruskal-Wallis
Response to corticosteroid,Second,log2rfu,1860,4.486658291440108,2,0.106,0.13547809523809523,1,Kruskal-Wallis
Response to corticosteroid,Third,log2rfu,1630,1.3495278362524914,2,0.509,0.55557381,1,Kruskal-Wallis
Defense response to Gram-positive bacterium,Third,log2rfu,2282,1.7426136430531187,2,0.418,0.4680483938256153,1,Kruskal-Wallis
Positive regulation of cell projection organization,Third,log2rfu,8476,1.3912055936780234,2,0.499,0.5457685411572942,1,Kruskal-Wallis
Positive regulation of neuron projection development,Third,log2rfu,7824,0.7666980268331827,2,0.682,0.7240854430379748,1,Kruskal-Wallis
Reproduction,Third,log2rfu,8150,2.9833479279841413,2,0.225,0.270928668,1,Kruskal-Wallis
Regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,Third,log2rfu,5216,3.845658782969622,2,0.146,0.18091597414589103,1,Kruskal-Wallis
Regulation of cytokine production involved in immune response,Second,log2rfu,1860,2.587541170149052,2,0.274,0.322975845,1,Kruskal-Wallis
B cell mediated immunity,Third,log2rfu,3260,3.037705034525061,2,0.219,0.2644156545209177,1,Kruskal-Wallis
Positive regulation of cell-substrate adhesion,Second,log2rfu,3720,0.7747989209728985,2,0.679,0.7211855955678672,1,Kruskal-Wallis
Positive regulation of cell-substrate adhesion,Third,log2rfu,3260,2.4324996616633143,2,0.296,0.34617167755991285,1,Kruskal-Wallis
Reproductive process,Third,log2rfu,8150,2.9833479279841413,2,0.225,0.270928668,1,Kruskal-Wallis
Response to glucocorticoid,Second,log2rfu,1860,4.486658291440108,2,0.106,0.13547809523809523,1,Kruskal-Wallis
Response to glucocorticoid,Third,log2rfu,1630,1.3495278362524914,2,0.509,0.55557381,1,Kruskal-Wallis
Myeloid cell differentiation,Second,log2rfu,3348,4.348078884988354,2,0.114,0.14439641340254838,1,Kruskal-Wallis
Myeloid cell differentiation,Third,log2rfu,2934,3.516026155099098,2,0.172,0.21157103574702105,1,Kruskal-Wallis
Regulation of myeloid leukocyte differentiation,Third,log2rfu,652,1.6006831112415512,2,0.449,0.496545529,1,Kruskal-Wallis
Regulation of lymphocyte migration,Second,log2rfu,1860,1.7883869194529325,2,0.409,0.45854469507101087,1,Kruskal-Wallis
Regulation of lymphocyte migration,Third,log2rfu,1630,2.806506866744712,2,0.246,0.2944977698483497,1,Kruskal-Wallis
Glial cell differentiation,Second,log2rfu,4836,3.0344160126896895,2,0.219,0.2644156545209177,1,Kruskal-Wallis
Regulation of blood vessel endothelial cell migration,Third,log2rfu,2282,2.0547725200003697,2,0.358,0.4092299829642248,1,Kruskal-Wallis
Plasma membrane bounded cell projection organization,Third,log2rfu,11410,3.2472353140692576,2,0.197,0.24001270994098958,1,Kruskal-Wallis
Regulation of organelle organization,Second,log2rfu,10416,0.3154560830407718,2,0.854,0.8721978691019787,1,Kruskal-Wallis
Regulation of organelle organization,Third,log2rfu,9128,4.440225703641772,2,0.109,0.13884954912197436,1,Kruskal-Wallis
Regulation of peptidyl-serine phosphorylation,Third,log2rfu,3912,2.8016280500360153,2,0.246,0.2944977698483497,1,Kruskal-Wallis
Positive regulation of organelle organization,Second,log2rfu,4836,2.5226059523774893,2,0.283,0.3319807692307692,1,Kruskal-Wallis
Positive regulation of organelle organization,Third,log2rfu,4238,3.8576022951147024,2,0.145,0.17984288354898334,1,Kruskal-Wallis
Epithelial tube morphogenesis,Second,log2rfu,4464,3.5615760000637238,2,0.169,0.2081670491050941,1,Kruskal-Wallis
Entry into host,Third,log2rfu,1304,0.7171257429863545,2,0.699,0.7389192595510042,1,Kruskal-Wallis
Negative regulation of cellular component organization,Second,log2rfu,7812,1.5111978901259135,2,0.47,0.516788202,1,Kruskal-Wallis
Negative regulation of cellular component organization,Third,log2rfu,6846,0.2922692679276224,2,0.864,0.8817399239543725,1,Kruskal-Wallis
Regulation of myeloid cell differentiation,Third,log2rfu,1630,2.690410681647336,2,0.26,0.3089154493138557,1,Kruskal-Wallis
Positive chemotaxis,Second,log2rfu,1860,4.17,2,0.124,0.15617832003754104,1,Kruskal-Wallis
Regulation of interleukin-17 production,Second,log2rfu,1860,2.7851822987404375,2,0.248,0.2957050199911151,1,Kruskal-Wallis
Regulation of interleukin-17 production,Third,log2rfu,1630,1.6431042337526378,2,0.44,0.4888079470198675,1,Kruskal-Wallis
Negative regulation of hemopoiesis,Third,log2rfu,1304,1.6075880035023147,2,0.448,0.4960528052805281,1,Kruskal-Wallis
Fibroblast growth factor receptor signaling pathway,Third,log2rfu,1630,0.4464194522543039,2,0.8,0.8268001540238737,1,Kruskal-Wallis
Branching morphogenesis of an epithelial tube,Third,log2rfu,1630,0.19907796703137137,2,0.905,0.9173036253776434,1,Kruskal-Wallis
Cellular response to organic cyclic compound,Second,log2rfu,5580,2.0934478180133738,2,0.351,0.4020845070422535,1,Kruskal-Wallis
Regulation of cell junction assembly,Second,log2rfu,5208,0.8641698016817827,2,0.649,0.6912365079365079,1,Kruskal-Wallis
Regulation of cell junction assembly,Third,log2rfu,4564,1.0338344481970125,2,0.596,0.6398656,1,Kruskal-Wallis
Behavior,Third,log2rfu,5216,0.7789845945626439,2,0.677,0.7193460015835312,1,Kruskal-Wallis
Regulation of smooth muscle cell migration,Second,log2rfu,1860,1.7538600839670835,2,0.416,0.4660033388981636,1,Kruskal-Wallis
Positive regulation of cellular component biogenesis,Third,log2rfu,3912,0.5202369609924062,2,0.771,0.802390074,1,Kruskal-Wallis
Fibrinolysis,Third,log2rfu,652,0.6050074989072982,2,0.739,0.7735865834633385,1,Kruskal-Wallis
Viral entry into host cell,Third,log2rfu,1304,0.7171257429863545,2,0.699,0.7389192595510042,1,Kruskal-Wallis
Negative regulation of leukocyte differentiation,Third,log2rfu,1304,1.6075880035023147,2,0.448,0.4960528052805281,1,Kruskal-Wallis
Regulation of cysteine-type endopeptidase activity involved in apoptotic process,Third,log2rfu,2934,4.408853219671073,2,0.11,0.13985788725722406,1,Kruskal-Wallis
Regulation of B cell proliferation,Second,log2rfu,2604,2.653580196522853,2,0.265,0.31360670194003526,1,Kruskal-Wallis
Positive regulation of peptidyl-serine phosphorylation,Third,log2rfu,2608,0.1,2,0.953,0.9605152084115658,1,Kruskal-Wallis
Endocytosis,Second,log2rfu,6324,1.7521185432306083,2,0.416,0.4660033388981636,1,Kruskal-Wallis
Myeloid leukocyte differentiation,Third,log2rfu,1304,2.6888065419025224,2,0.261,0.30996637168141594,1,Kruskal-Wallis
Regulation of endothelial cell apoptotic process,Third,log2rfu,978,3.7675769739325915,2,0.152,0.18809036422314432,1,Kruskal-Wallis
Regulation of T cell differentiation,Second,log2rfu,2232,2.266850622934726,2,0.322,0.3730030211480363,1,Kruskal-Wallis
Regulation of T cell differentiation,Third,log2rfu,1956,0.8110619862918611,2,0.667,0.7098445678033307,1,Kruskal-Wallis
Regulation of protein secretion,Third,log2rfu,1630,0.17626285564801947,2,0.916,0.9256566265060241,1,Kruskal-Wallis
Response to estradiol,Second,log2rfu,1488,2.4252729822510446,2,0.297,0.34718989547038326,1,Kruskal-Wallis
Negative regulation of intracellular signal transduction,Second,log2rfu,7440,0.6002246058524179,2,0.741,0.7753777777777777,1,Kruskal-Wallis
Negative regulation of intracellular signal transduction,Third,log2rfu,6520,3.4273030943004414,2,0.18,0.2206027397260274,1,Kruskal-Wallis
Positive regulation of neuron death,Second,log2rfu,2232,3.766387768934692,2,0.152,0.18809036422314432,1,Kruskal-Wallis
Regulation of signaling receptor activity,Third,log2rfu,4238,2.3929206520988373,2,0.302,0.35288114932520676,1,Kruskal-Wallis
Zymogen activation,Third,log2rfu,652,2.8923968415654144,2,0.235,0.282589606,1,Kruskal-Wallis
Positive regulation of response to wounding,Second,log2rfu,1488,1.8987257077096729,2,0.387,0.4369827513672697,1,Kruskal-Wallis
Positive regulation of response to wounding,Third,log2rfu,1304,1.0860939997560308,2,0.581,0.6257640449438202,1,Kruskal-Wallis
Negative regulation of phosphorus metabolic process,Third,log2rfu,5216,4.6112058098187845,2,0.0997,0.12815842911877393,1,Kruskal-Wallis
Negative regulation of cell development,Second,log2rfu,2976,0.7135513487246499,2,0.7,0.7393939393939394,1,Kruskal-Wallis
Negative regulation of cell development,Third,log2rfu,2608,1.06,2,0.589,0.6328566853482785,1,Kruskal-Wallis
Regulation of actin filament-based process,Third,log2rfu,6194,0.4598586116480874,2,0.795,0.8219491525423729,1,Kruskal-Wallis
Regulation of actin cytoskeleton organization,Second,log2rfu,6324,2.155486739033222,2,0.34,0.3911530218602658,1,Kruskal-Wallis
Regulation of T cell migration,Second,log2rfu,1860,1.7883869194529325,2,0.409,0.45854469507101087,1,Kruskal-Wallis
Regulation of T cell migration,Third,log2rfu,1630,2.806506866744712,2,0.246,0.2944977698483497,1,Kruskal-Wallis
Negative regulation of cysteine-type endopeptidase activity,Third,log2rfu,1304,0.21552554548634362,2,0.898,0.911240832,1,Kruskal-Wallis
Response to hydrogen peroxide,Third,log2rfu,1956,2.082348866749271,2,0.353,0.4042030716723549,1,Kruskal-Wallis
Defense response to Gram-negative bacterium,Second,log2rfu,1860,3.1058623958033422,2,0.212,0.2571206507004067,1,Kruskal-Wallis
Negative regulation of phosphate metabolic process,Third,log2rfu,5216,4.6112058098187845,2,0.0997,0.12815842911877393,1,Kruskal-Wallis
Circulatory system process,Third,log2rfu,3260,4.430435158586988,2,0.109,0.13884954912197436,1,Kruskal-Wallis
Neuroinflammatory response,Second,log2rfu,1860,1.709427358481662,2,0.425,0.47430353430353434,1,Kruskal-Wallis
Homeostasis of number of cells,Third,log2rfu,1956,1.9802842969747871,2,0.372,0.4234300254452926,1,Kruskal-Wallis
Anatomical structure homeostasis,Second,log2rfu,1860,2.467095021050227,2,0.291,0.34062102049716525,1,Kruskal-Wallis
Positive regulation of smooth muscle cell migration,Second,log2rfu,1488,0,2,0.999,0.999,1,Kruskal-Wallis
Mesenchyme development,Second,log2rfu,4092,0.09,2,0.956,0.9631771771771771,1,Kruskal-Wallis
Response to fungus,Second,log2rfu,1488,0.7038801423204859,2,0.703,0.7419787652379078,1,Kruskal-Wallis
Regulation of lipid localization,Third,log2rfu,1630,1.8708542634885816,2,0.392,0.44225641025641027,1,Kruskal-Wallis
Regulation of protein-containing complex assembly,Second,log2rfu,6324,0.76,2,0.684,0.7256347826086957,1,Kruskal-Wallis
Positive regulation of fibroblast proliferation,Second,log2rfu,744,2.619405989167717,2,0.27,0.3185406593406594,1,Kruskal-Wallis
Glial cell activation,Second,log2rfu,1860,1.709427358481662,2,0.425,0.47430353430353434,1,Kruskal-Wallis
Negative regulation of chemotaxis,Second,log2rfu,2604,3.3101546458701705,2,0.191,0.23312596634834018,1,Kruskal-Wallis
Regulation of vascular associated smooth muscle cell proliferation,Second,log2rfu,1116,0.9978346231714568,2,0.607,0.6506341853035144,1,Kruskal-Wallis
Regulation of fibroblast proliferation,Second,log2rfu,744,2.619405989167717,2,0.27,0.3185406593406594,1,Kruskal-Wallis
Sex differentiation,Second,log2rfu,2976,4.42,2,0.11,0.13985788725722406,1,Kruskal-Wallis
Sex differentiation,Third,log2rfu,2608,4.235728589974315,2,0.12,0.15149576669802448,1,Kruskal-Wallis
Macrophage activation,Second,log2rfu,1860,1.027956748373981,2,0.598,0.6417560975609756,1,Kruskal-Wallis
Regulation of cytoskeleton organization,Second,log2rfu,6696,0.6547202073270455,2,0.721,0.7565144644253322,1,Kruskal-Wallis
Tumor necrosis factor-mediated signaling pathway,Third,log2rfu,1304,2.6954137908728626,2,0.26,0.3089154493138557,1,Kruskal-Wallis
Positive regulation of interleukin-17 production,Second,log2rfu,1860,2.7851822987404375,2,0.248,0.2957050199911151,1,Kruskal-Wallis
Positive regulation of interleukin-17 production,Third,log2rfu,1630,1.6431042337526378,2,0.44,0.4888079470198675,1,Kruskal-Wallis
Female sex differentiation,Third,log2rfu,978,0.47664198795064294,2,0.788,0.8150258188824663,1,Kruskal-Wallis
Tissue homeostasis,Second,log2rfu,1860,2.467095021050227,2,0.291,0.34062102049716525,1,Kruskal-Wallis
Response to vitamin,Third,log2rfu,1304,3.3060791888037784,2,0.191,0.23312596634834018,1,Kruskal-Wallis
Cell junction organization,Second,log2rfu,6324,2.2036513049279165,2,0.332,0.3830988822012038,1,Kruskal-Wallis
Positive regulation of opsonization,Second,log2rfu,1488,2.247463791713926,2,0.325,0.3758293838862559,1,Kruskal-Wallis
Positive regulation of opsonization,Third,log2rfu,1304,2.976016710927979,2,0.226,0.2720107623318386,1,Kruskal-Wallis
Regulation of phospholipase activity,Third,log2rfu,1304,3.211791067732065,2,0.201,0.24455303717135085,1,Kruskal-Wallis
Positive regulation of blood vessel endothelial cell migration,Third,log2rfu,1304,1.540870906323562,2,0.463,0.5103457905544148,1,Kruskal-Wallis
Regulation of intrinsic apoptotic signaling pathway,Third,log2rfu,2608,1.8242171456995493,2,0.402,0.4520184331797235,1,Kruskal-Wallis
Developmental process involved in reproduction,Second,log2rfu,6324,2.643874751036492,2,0.267,0.3155561426684281,1,Kruskal-Wallis
Developmental process involved in reproduction,Third,log2rfu,5542,4.489709150602721,2,0.106,0.13547809523809523,1,Kruskal-Wallis
Female gonad development,Third,log2rfu,978,0.47664198795064294,2,0.788,0.8150258188824663,1,Kruskal-Wallis
Regulation of lipase activity,Third,log2rfu,1304,3.211791067732065,2,0.201,0.24455303717135085,1,Kruskal-Wallis
Mesenchymal cell differentiation,Second,log2rfu,2604,0.5092477667531057,2,0.775,0.8057191489361702,1,Kruskal-Wallis
Microglial cell activation,Second,log2rfu,1488,0.6059575130602752,2,0.739,0.7735865834633385,1,Kruskal-Wallis
Positive regulation of lymphocyte migration,Third,log2rfu,978,0.5207162496640194,2,0.771,0.802390074,1,Kruskal-Wallis
Positive regulation of macrophage migration,Third,log2rfu,652,0.8076967033180154,2,0.668,0.7106270313119304,1,Kruskal-Wallis
Regulation of cardiac muscle tissue growth,Third,log2rfu,1956,0.6606454082166238,2,0.719,0.7550062597809076,1,Kruskal-Wallis
Negative regulation of nervous system development,Third,log2rfu,3586,0.4759378250946611,2,0.788,0.8150258188824663,1,Kruskal-Wallis
Developmental growth involved in morphogenesis,Second,log2rfu,2604,3.900044425273336,2,0.142,0.17636649699213325,1,Kruskal-Wallis
Developmental growth involved in morphogenesis,Third,log2rfu,2282,0.9896168544782995,2,0.61,0.6530674112485042,1,Kruskal-Wallis
Positive regulation of myeloid cell differentiation,Third,log2rfu,652,0.9710809342516313,2,0.615,0.6578955759266639,1,Kruskal-Wallis
Regulation of cellular catabolic process,Second,log2rfu,5952,2.502755287798209,2,0.286,0.3352069868995633,1,Kruskal-Wallis
Regulation of morphogenesis of a branching structure,Third,log2rfu,1630,3.0413808951434476,2,0.219,0.2644156545209177,1,Kruskal-Wallis
Regulation of cardiac muscle cell proliferation,Third,log2rfu,1956,0.6606454082166238,2,0.719,0.7550062597809076,1,Kruskal-Wallis
Negative regulation of phosphorylation,Third,log2rfu,5216,4.6112058098187845,2,0.0997,0.12815842911877393,1,Kruskal-Wallis
Regulation of NIK/NF-kappaB signaling,Third,log2rfu,1956,4.387005482929453,2,0.112,0.14219867549668877,1,Kruskal-Wallis
Regulation of anatomical structure size,Second,log2rfu,6696,1.919023528447724,2,0.383,0.4331951116729878,1,Kruskal-Wallis
Positive regulation of interleukin-10 production,Second,log2rfu,1116,2.7730351034938394,2,0.25,0.29795737122557725,1,Kruskal-Wallis
Positive regulation of interleukin-10 production,Third,log2rfu,978,3.977011398201739,2,0.137,0.17094746629474666,1,Kruskal-Wallis
Cell-matrix adhesion,Third,log2rfu,1630,1.1684383336187238,2,0.558,0.6029275362318841,1,Kruskal-Wallis
Negative regulation of smooth muscle cell proliferation,Second,log2rfu,744,0.30288710469358193,2,0.859,0.8769707112970712,1,Kruskal-Wallis
Negative regulation of smooth muscle cell proliferation,Third,log2rfu,652,4.187074435299792,2,0.123,0.15499154929577466,1,Kruskal-Wallis
Positive regulation of cytokine production involved in immune response,Third,log2rfu,1304,1.3747383875920605,2,0.503,0.5494717134717135,1,Kruskal-Wallis
Regulation of neutrophil migration,Third,log2rfu,2282,0.6654156964868889,2,0.717,0.7546776470588235,1,Kruskal-Wallis
Regulation of organ growth,Third,log2rfu,1956,0.6606454082166238,2,0.719,0.7550062597809076,1,Kruskal-Wallis
Negative regulation of epithelial cell migration,Second,log2rfu,1488,3.3393682570685996,2,0.188,0.22988246013667424,1,Kruskal-Wallis
Astrocyte development,Second,log2rfu,1860,4.197087836049832,2,0.123,0.15499154929577466,1,Kruskal-Wallis
